t,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th
4980,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5040,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5100,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,-12,-15,0,-8,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5160,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5220,-16,-14,0,-16,-13,0,-16,-12,0,-16,-11,0,-16,-10,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5280,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5340,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5400,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5460,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5520,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5580,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5640,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5700,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5760,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5820,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5880,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
5940,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6000,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6060,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6120,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
