t,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,robot_7,robot_8,robot_9,robot_10,robot_11,robot_12,robot_13,robot_14
3360,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3420,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3480,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3540,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3600,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3660,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3720,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3780,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3840,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
3900,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
